solution,cluster,cluster_rep,testcases_time,klee_time,cbmc_time
46.c,cluster16,44.c,0.092077,0.0,0.0
46.c,cluster3,18.c,0.103822,0.0,0.0
46.c,cluster10,30.c,0.090942,0.0,0.0
46.c,cluster13,39.c,0.091932,0.0,0.0
46.c,cluster8,25.c,0.101735,0.0,0.0
46.c,cluster6,22.c,0.09048300000000001,0.0,0.0
46.c,cluster2,37.c,0.092222,0.0,0.0
46.c,cluster11,31.c,0.09255,0.0,0.0
46.c,cluster5,21.c,0.091832,0.0,0.0
47.c,cluster14,40.c,0.085375,0.0,0.0
47.c,cluster1,12.c,0.08601900000000001,0.0,0.0
47.c,cluster9,28.c,0.089299,0.0,0.0
47.c,cluster7,24.c,0.103299,0.0,0.0
47.c,cluster17,45.c,0.098761,0.0,0.0
47.c,cluster12,32.c,0.109152,0.0,0.0
47.c,cluster15,41.c,0.095736,0.0,0.0
47.c,cluster4,43.c,0.097656,0.0,0.0
47.c,cluster16,44.c,0.099521,0.0,0.0
47.c,cluster3,18.c,0.095961,0.0,0.0
47.c,cluster10,30.c,0.084767,0.0,0.0
47.c,cluster13,39.c,0.097485,0.0,0.0
47.c,cluster8,25.c,0.127637,0.0,0.0
47.c,cluster6,22.c,0.084379,0.0,0.0
47.c,cluster2,11.c,0.08678200000000001,0.0,0.0
47.c,cluster18,46.c,0.09397,0.0,0.0
47.c,cluster11,31.c,0.08379,0.0,0.0
47.c,cluster5,21.c,0.54118,1.429632,4.158044
48.c,cluster14,40.c,0.085131,0.0,0.0
48.c,cluster1,15.c,0.084652,0.0,0.0
48.c,cluster9,28.c,0.084141,0.0,0.0
48.c,cluster7,24.c,0.083701,0.0,0.0
48.c,cluster17,45.c,0.084204,0.0,0.0
48.c,cluster12,32.c,0.084749,0.0,0.0
48.c,cluster15,41.c,0.08454,0.0,0.0
48.c,cluster4,19.c,0.084048,0.0,0.0
48.c,cluster16,44.c,0.084411,0.0,0.0
48.c,cluster3,18.c,0.097088,0.0,0.0
48.c,cluster10,30.c,0.083413,0.0,0.0
48.c,cluster13,39.c,0.084698,0.0,0.0
48.c,cluster8,25.c,0.09724400000000001,0.0,0.0
48.c,cluster6,22.c,0.08523700000000001,0.0,0.0
48.c,cluster2,27.c,0.084583,0.0,0.0
48.c,cluster18,46.c,0.095996,0.0,0.0
48.c,cluster11,31.c,0.084719,0.0,0.0
48.c,cluster5,21.c,0.084911,0.0,0.0
49.c,cluster14,40.c,0.084738,0.0,0.0
49.c,cluster1,34.c,0.5679960000000001,2.063639,0.0
49.c,cluster9,28.c,0.5468350000000001,1.759612,4.208811
49.c,cluster7,24.c,0.086622,0.0,0.0
49.c,cluster17,45.c,0.085493,0.0,0.0
49.c,cluster12,32.c,0.553154,11.238518,0.0
49.c,cluster15,41.c,0.085612,0.0,0.0
49.c,cluster4,38.c,0.08491599999999999,0.0,0.0
49.c,cluster16,44.c,0.541898,1.365299,0.0
49.c,cluster3,18.c,0.63579,2.006528,0.0
49.c,cluster10,30.c,0.542964,12.197994,0.0
49.c,cluster13,39.c,0.5559729999999999,1.336045,0.0
49.c,cluster19,48.c,0.125357,0.0,0.0
49.c,cluster8,25.c,0.704604,10.710924,0.0
49.c,cluster6,22.c,0.5534319999999999,0.0,0.0
49.c,cluster2,37.c,0.545237,10.92403,0.0
49.c,cluster18,46.c,0.099401,0.0,0.0
49.c,cluster11,31.c,0.5511149999999999,3.470329,0.0
49.c,cluster5,21.c,0.092225,0.0,0.0
5.c,cluster14,40.c,0.09082,0.0,0.0
5.c,cluster1,1.c,0.633892,1.812309,31.360404
50.c,cluster14,40.c,0.088489,0.0,0.0
50.c,cluster1,5.c,0.543511,13.451851000000001,0.0
50.c,cluster20,49.c,0.559167,12.659322,0.0
50.c,cluster9,28.c,0.552887,10.946188000000001,0.0
50.c,cluster7,24.c,0.085102,0.0,0.0
50.c,cluster17,45.c,0.084992,0.0,0.0
50.c,cluster12,32.c,0.547732,11.153547,0.0
50.c,cluster15,41.c,0.091658,0.0,0.0
50.c,cluster4,42.c,0.08366599999999999,0.0,0.0
50.c,cluster16,44.c,0.544916,11.858638000000001,0.0
50.c,cluster3,18.c,0.57653,0.790719,0.0
50.c,cluster10,30.c,0.63164,0.352182,0.366398
6.c,cluster14,40.c,0.145174,0.0,0.0
6.c,cluster1,16.c,0.086754,0.0,0.0
6.c,cluster20,49.c,0.10798900000000004,0.0,0.0
6.c,cluster9,28.c,0.097716,0.0,0.0
6.c,cluster7,24.c,0.101047,0.0,0.0
6.c,cluster17,45.c,0.10102,0.0,0.0
6.c,cluster12,32.c,0.096699,0.0,0.0
6.c,cluster15,41.c,0.101764,0.0,0.0
6.c,cluster4,38.c,0.10662,0.0,0.0
6.c,cluster16,44.c,0.110595,0.0,0.0
6.c,cluster3,18.c,0.095114,0.0,0.0
6.c,cluster10,30.c,0.083233,0.0,0.0
6.c,cluster13,39.c,0.08508099999999999,0.0,0.0
6.c,cluster19,48.c,0.084499,0.0,0.0
6.c,cluster8,25.c,0.09631,0.0,0.0
6.c,cluster6,22.c,0.084129,0.0,0.0
6.c,cluster2,26.c,0.08403300000000001,0.0,0.0
6.c,cluster18,46.c,0.095618,0.0,0.0
6.c,cluster11,31.c,0.08454500000000001,0.0,0.0
6.c,cluster5,47.c,0.084017,0.0,0.0
7.c,cluster14,40.c,0.086908,0.0,0.0
7.c,cluster1,16.c,0.585804,12.572773,0.0
7.c,cluster20,49.c,0.55283,12.015646,0.0
7.c,cluster9,28.c,0.555974,13.491689000000001,0.0
7.c,cluster7,24.c,0.092845,0.0,0.0
7.c,cluster17,45.c,0.090153,0.0,0.0
7.c,cluster12,32.c,0.54951,12.574615,0.0
7.c,cluster15,41.c,0.086983,0.0,0.0
7.c,cluster4,20.c,0.08531,0.0,0.0
7.c,cluster16,44.c,0.5496270000000001,10.740250999999999,0.0
7.c,cluster3,18.c,0.5791069999999999,0.7502880000000001,0.0
7.c,cluster10,50.c,0.596431,0.33905100000000005,0.250819
8.c,cluster14,40.c,0.105115,0.0,0.0
8.c,cluster1,36.c,0.5924550000000001,1.409834,18.381949
9.c,cluster14,40.c,0.5547770000000001,11.612558,0.0
9.c,cluster1,16.c,0.092753,0.0,0.0
9.c,cluster20,49.c,0.084436,0.0,0.0
9.c,cluster9,28.c,0.083815,0.0,0.0
9.c,cluster7,24.c,0.084123,0.0,0.0
9.c,cluster17,45.c,0.08488899999999999,0.0,0.0
9.c,cluster12,32.c,0.15904300000000002,0.0,0.0
9.c,cluster15,41.c,0.088626,0.0,0.0
9.c,cluster4,38.c,0.544063,0.482177,0.733466
