solution,cluster,cluster_rep,testcases_time,klee_time,cbmc_time
6.c,cluster1,4.c,0.08732899999999999,0.0,0.0
6.c,cluster9,39.c,0.091486,0.0,0.0
6.c,cluster7,28.c,0.091236,0.0,0.0
6.c,cluster12,45.c,0.090417,0.0,0.0
6.c,cluster15,49.c,0.088744,0.0,0.0
6.c,cluster4,21.c,0.092503,0.0,0.0
6.c,cluster3,40.c,0.088654,0.0,0.0
6.c,cluster10,41.c,0.088853,0.0,0.0
6.c,cluster13,46.c,0.101524,0.0,0.0
6.c,cluster8,31.c,0.08821799999999999,0.0,0.0
6.c,cluster6,24.c,0.087142,0.0,0.0
6.c,cluster2,18.c,0.099337,0.0,0.0
6.c,cluster11,44.c,0.089158,0.0,0.0
6.c,cluster5,22.c,0.086822,0.0,0.0
7.c,cluster14,48.c,0.089542,0.0,0.0
7.c,cluster1,32.c,0.581341,10.431994,32.816506
8.c,cluster14,48.c,0.090965,0.0,0.0
8.c,cluster1,27.c,0.5624600000000001,10.722458,20.182654
9.c,cluster14,48.c,0.09006,0.0,0.0
9.c,cluster1,36.c,0.090513,0.0,0.0
9.c,cluster9,39.c,0.088783,0.0,0.0
9.c,cluster7,28.c,0.09171599999999999,0.0,0.0
9.c,cluster12,45.c,0.091236,0.0,0.0
9.c,cluster15,49.c,0.091447,0.0,0.0
9.c,cluster4,21.c,0.09001,0.0,0.0
9.c,cluster16,6.c,0.091536,0.0,0.0
9.c,cluster3,38.c,0.581221,0.495691,0.763503
