solution,cluster,cluster_rep,testcases_time,klee_time,cbmc_time
39.c,cluster17,36.c,0.099383,0.991554,0.0
39.c,cluster12,27.c,0.117787,10.752425,0.0
39.c,cluster15,31.c,0.091562,3.869588,0.0
39.c,cluster4,13.c,0.091509,2.728236,0.0
39.c,cluster16,32.c,0.09361900000000001,11.284274,0.0
39.c,cluster3,11.c,0.090185,10.031105,0.0
39.c,cluster10,24.c,0.088668,0.0,0.0
39.c,cluster13,28.c,0.092427,2.298369,0.0
39.c,cluster8,21.c,0.087925,0.0,0.0
39.c,cluster6,18.c,0.102868,1.983192,0.0
39.c,cluster2,10.c,0.09260399999999999,1.40005,0.0
39.c,cluster11,25.c,0.117194,9.458491,0.0
39.c,cluster5,14.c,0.094083,1.0166979999999999,0.0
4.c,cluster14,30.c,0.121307,10.452163,0.0
4.c,cluster1,33.c,0.092434,10.933760000000001,0.0
4.c,cluster9,22.c,0.08764,0.0,0.0
4.c,cluster7,19.c,0.08911799999999999,0.0,0.0
4.c,cluster17,36.c,0.09079,10.674264,0.0
4.c,cluster12,27.c,0.09135599999999999,7.6659960000000025,10.018331
4.c,cluster15,31.c,0.113572,10.494488,0.0
4.c,cluster4,13.c,0.149285,10.894605,0.0
4.c,cluster16,32.c,0.092507,10.920859,0.0
4.c,cluster3,11.c,0.097552,6.8614,6.148469
40.c,cluster14,30.c,0.096097,0.0,0.0
40.c,cluster1,33.c,0.088655,0.0,0.0
40.c,cluster9,22.c,0.08756699999999999,0.0,0.0
40.c,cluster7,19.c,0.10659300000000001,72.178432,0.0
40.c,cluster17,36.c,0.089361,0.0,0.0
40.c,cluster12,27.c,0.088019,0.0,0.0
40.c,cluster15,31.c,0.08855,0.0,0.0
40.c,cluster4,13.c,0.08838,0.0,0.0
40.c,cluster16,32.c,0.091689,0.0,0.0
40.c,cluster3,4.c,0.090755,0.0,0.0
40.c,cluster10,24.c,0.086868,0.0,0.0
40.c,cluster13,28.c,0.087924,0.0,0.0
40.c,cluster8,21.c,0.087377,0.0,0.0
40.c,cluster6,18.c,0.099911,0.0,0.0
40.c,cluster2,10.c,0.08713,0.0,0.0
40.c,cluster18,39.c,0.09071900000000001,0.0,0.0
40.c,cluster11,25.c,0.099788,0.0,0.0
40.c,cluster5,16.c,0.09236799999999999,0.0,0.0
41.c,cluster14,30.c,0.112279,0.0,0.0
41.c,cluster1,15.c,0.090994,0.0,0.0
41.c,cluster9,22.c,0.101308,0.0,0.0
41.c,cluster7,20.c,0.134908,0.0,0.0
41.c,cluster17,36.c,0.16581,0.0,0.0
41.c,cluster12,27.c,0.135571,0.0,0.0
41.c,cluster15,31.c,0.124549,0.0,0.0
41.c,cluster4,13.c,0.12751800000000002,0.0,0.0
41.c,cluster16,32.c,0.131227,0.0,0.0
41.c,cluster3,11.c,0.10095,0.0,0.0
41.c,cluster10,24.c,0.10383,0.0,0.0
41.c,cluster13,28.c,0.136079,0.0,0.0
41.c,cluster19,40.c,0.131866,0.0,0.0
41.c,cluster8,21.c,0.087768,0.0,0.0
41.c,cluster6,18.c,0.10032,0.0,0.0
41.c,cluster2,10.c,0.087349,0.0,0.0
41.c,cluster18,39.c,0.093706,0.0,0.0
41.c,cluster11,25.c,0.10972,0.0,0.0
41.c,cluster5,14.c,0.095007,0.0,0.0
42.c,cluster14,30.c,0.095961,0.0,0.0
42.c,cluster1,1.c,0.093672,0.0,0.0
42.c,cluster20,41.c,0.092735,0.0,0.0
42.c,cluster9,22.c,0.089409,0.0,0.0
42.c,cluster7,19.c,0.092644,0.505057,0.836996
43.c,cluster14,30.c,0.116383,0.0,0.0
43.c,cluster1,29.c,0.1397,0.0,0.0
43.c,cluster20,41.c,0.135045,0.0,0.0
43.c,cluster9,22.c,0.11426700000000001,0.0,0.0
43.c,cluster7,38.c,0.162564,0.4300850000000001,0.6419090000000001
44.c,cluster14,30.c,0.113232,10.160801,0.0
44.c,cluster1,2.c,0.090433,1.942876,0.0
44.c,cluster20,41.c,0.086524,0.0,0.0
44.c,cluster9,22.c,0.090542,0.0,0.0
44.c,cluster7,38.c,0.088505,0.0,0.0
44.c,cluster17,36.c,0.091176,1.428848,0.0
44.c,cluster12,27.c,0.10665899999999999,10.270204,0.0
44.c,cluster15,31.c,0.089201,3.655081,0.0
44.c,cluster4,13.c,0.092314,2.282624,0.0
44.c,cluster16,32.c,0.091153,11.371612,0.0
44.c,cluster3,11.c,0.088775,10.577506,0.0
44.c,cluster10,24.c,0.087929,0.0,0.0
44.c,cluster13,28.c,0.094441,1.845673,0.0
44.c,cluster19,40.c,0.102314,0.0,0.0
44.c,cluster8,21.c,0.149868,0.0,0.0
44.c,cluster6,18.c,0.211606,2.111356,0.0
44.c,cluster2,12.c,0.09299099999999999,1.6451790000000002,0.0
44.c,cluster18,39.c,0.090236,1.357417,3.872444
44.c,cluster11,25.c,0.103255,11.193457,0.0
